State,Business size,#Establishments,Total #employees,Region,Men to women degree holders ratio,#Bachelor's degree holders,#Science and Engineering degree holders,#Science and Engineering Related Fields degree holders,#Business degree holders,#Education degree holders,"#Arts, Humanities and Others degree holders",#(Mid)Senior degree holders,(Mid)Senior to total ratio,Degree holders to establishments ratio,Rate born - exited,Average rank,Average #employees,State code
Tennessee,Establishments with 50 to 99 employees,17,1086,Southeast,0.8323513942176357,1348224,414948,142105,302281,184641,304249,1085458,0.805102119529099,103709.53846153847,0.13409090909090793,121.6,63.88235294117647,TN
Tennessee,Establishments with 100 to 249 employees,9,1134,Southeast,0.8323513942176357,1348224,414948,142105,302281,184641,304249,1085458,0.805102119529099,103709.53846153847,0.13409090909090793,121.6,126.0,TN
Texas,Establishments with 50 to 99 employees,136,9695,Southwest,0.9306678137304741,5776533,2034598,552412,1340690,686845,1161988,4753313,0.822866068626285,44264.620689655174,1.3077272727272735,109.4,71.28676470588235,TX
Texas,Establishments with 100 to 249 employees,85,12926,Southwest,0.9306678137304741,5776533,2034598,552412,1340690,686845,1161988,4753313,0.822866068626285,44264.620689655174,1.3077272727272735,109.4,152.0705882352941,TX
Texas,Establishments with 250 to 499 employees,22,7411,Southwest,0.9306678137304741,5776533,2034598,552412,1340690,686845,1161988,4753313,0.822866068626285,44264.620689655174,1.3077272727272735,109.4,336.8636363636364,TX
Texas,Establishments with 500 to 999 employees,9,5987,Southwest,0.9306678137304741,5776533,2034598,552412,1340690,686845,1161988,4753313,0.822866068626285,44264.620689655174,1.3077272727272735,109.4,665.2222222222222,TX
Texas,Establishments with 1000 employees or more,9,14390,Southwest,0.9306678137304741,5776533,2034598,552412,1340690,686845,1161988,4753313,0.822866068626285,44264.620689655174,1.3077272727272735,109.4,1598.888888888889,TX
Utah,Establishments with 50 to 99 employees,26,1878,West,1.1141692961473866,664661,219390,68981,128000,83000,165290,547322,0.8234603805548995,26065.13725490196,1.2512727272727258,183.0,72.23076923076923,UT
Utah,Establishments with 100 to 249 employees,22,3220,West,1.1141692961473866,664661,219390,68981,128000,83000,165290,547322,0.8234603805548995,26065.13725490196,1.2512727272727258,183.0,146.36363636363637,UT
Utah,Establishments with 250 to 499 employees,3,1255,West,1.1141692961473866,664661,219390,68981,128000,83000,165290,547322,0.8234603805548995,26065.13725490196,1.2512727272727258,183.0,418.3333333333333,UT
Vermont,Establishments with 50 to 99 employees,3,197,Northeast,0.7996176627283839,172272,65723,14964,18402,23066,50117,127285,0.7388606389895049,114848.0,-0.45500000000000096,197.0,65.66666666666667,VT
Virginia,Establishments with 50 to 99 employees,129,8915,Southeast,0.8910464695428685,2325070,944785,185017,427386,210501,557381,1874676,0.8062879827274018,18307.63779527559,0.2647272727272725,144.71428571428572,69.10852713178295,VA
Virginia,Establishments with 100 to 249 employees,86,13459,Southeast,0.8910464695428685,2325070,944785,185017,427386,210501,557381,1874676,0.8062879827274018,18307.63779527559,0.2647272727272725,144.71428571428572,156.5,VA
Virginia,Establishments with 250 to 499 employees,29,9875,Southeast,0.8910464695428685,2325070,944785,185017,427386,210501,557381,1874676,0.8062879827274018,18307.63779527559,0.2647272727272725,144.71428571428572,340.51724137931035,VA
Virginia,Establishments with 500 to 999 employees,5,2905,Southeast,0.8910464695428685,2325070,944785,185017,427386,210501,557381,1874676,0.8062879827274018,18307.63779527559,0.2647272727272725,144.71428571428572,581.0,VA
Virginia,Establishments with 1000 employees or more,5,11258,Southeast,0.8910464695428685,2325070,944785,185017,427386,210501,557381,1874676,0.8062879827274018,18307.63779527559,0.2647272727272725,144.71428571428572,2251.6,VA
Washington,Establishments with 50 to 99 employees,42,3030,West,0.9637580307311656,1955632,823892,166505,313212,188089,463934,1539831,0.7873828000359986,42980.92307692308,0.4748181818181827,176.0,72.14285714285714,WA
Washington,Establishments with 100 to 249 employees,32,4637,West,0.9637580307311656,1955632,823892,166505,313212,188089,463934,1539831,0.7873828000359986,42980.92307692308,0.4748181818181827,176.0,144.90625,WA
Washington,Establishments with 250 to 499 employees,11,4129,West,0.9637580307311656,1955632,823892,166505,313212,188089,463934,1539831,0.7873828000359986,42980.92307692308,0.4748181818181827,176.0,375.3636363636364,WA
